grpc_core_fuzz:  5000000 iterations
[ 1110000] elapsed= 15.653459000s
[ 1120000] elapsed= 15.805744000s
[ 1130000] elapsed= 15.952204000s
[ 1140000] elapsed= 16.095555000s
[ 1150000] elapsed= 16.235061000s
[ 1160000] elapsed= 16.375240000s
[ 1170000] elapsed= 16.517038000s
[ 1180000] elapsed= 16.660447000s
[ 1190000] elapsed= 16.801337000s
[ 1200000] elapsed= 16.941724000s
[ 1210000] elapsed= 17.080329000s
[ 1220000] elapsed= 17.225195000s
[ 1230000] elapsed= 17.369058000s
[ 1240000] elapsed= 17.511786000s
[ 1250000] elapsed= 17.653031000s
[ 1260000] elapsed= 17.793249000s
[ 1270000] elapsed= 17.932995000s
[ 1280000] elapsed= 18.075878000s
[ 1290000] elapsed= 18.218768000s
[ 1300000] elapsed= 18.361348000s
[ 1310000] elapsed= 18.500609000s
[ 1320000] elapsed= 18.640625000s
[ 1330000] elapsed= 18.806321000s
[ 1340000] elapsed= 18.949634000s
[ 1350000] elapsed= 19.091278000s
[ 1360000] elapsed= 19.233944000s
[ 1370000] elapsed= 19.374277000s
[ 1380000] elapsed= 19.520103000s
[ 1390000] elapsed= 19.662556000s
[ 1400000] elapsed= 19.809146000s
[ 1410000] elapsed= 19.949919000s
[ 1420000] elapsed= 20.091689000s
[ 1430000] elapsed= 20.231626000s
[ 1440000] elapsed= 20.374703000s
[ 1450000] elapsed= 20.516827000s
[ 1460000] elapsed= 20.659019000s
[ 1470000] elapsed= 20.798839000s
[ 1480000] elapsed= 20.945568000s
[ 1490000] elapsed= 21.089615000s
[ 1500000] elapsed= 21.229454000s
[ 1510000] elapsed= 21.372686000s
[ 1520000] elapsed= 21.514927000s
[ 1530000] elapsed= 21.655385000s
[ 1540000] elapsed= 21.800540000s
[ 1550000] elapsed= 21.943826000s
[ 1560000] elapsed= 22.083866000s
[ 1570000] elapsed= 22.223743000s
[ 1580000] elapsed= 22.366055000s
[ 1590000] elapsed= 22.507656000s
[ 1600000] elapsed= 22.649537000s
[ 1610000] elapsed= 22.789787000s
[ 1620000] elapsed= 22.929959000s
[ 1630000] elapsed= 23.070055000s
[ 1640000] elapsed= 23.212498000s
[ 1650000] elapsed= 23.355235000s
[ 1660000] elapsed= 23.498420000s
[ 1670000] elapsed= 23.639731000s
[ 1680000] elapsed= 23.782712000s
[ 1690000] elapsed= 23.925497000s
[ 1700000] elapsed= 24.064831000s
[ 1710000] elapsed= 24.203360000s
[ 1720000] elapsed= 24.344809000s
[ 1730000] elapsed= 24.485979000s
[ 1740000] elapsed= 24.626622000s
[ 1750000] elapsed= 24.768745000s
[ 1760000] elapsed= 24.913285000s
[ 1770000] elapsed= 25.056705000s
[ 1780000] elapsed= 25.199730000s
[ 1790000] elapsed= 25.341392000s
[ 1800000] elapsed= 25.483747000s
[ 1810000] elapsed= 25.624704000s
[ 1820000] elapsed= 25.768199000s
[ 1830000] elapsed= 25.908768000s
[ 1840000] elapsed= 26.050038000s
[ 1850000] elapsed= 26.202225000s
[ 1860000] elapsed= 26.346497000s
[ 1870000] elapsed= 26.484766000s
[ 1880000] elapsed= 26.627983000s
[ 1890000] elapsed= 26.775668000s
[ 1900000] elapsed= 26.926871000s
[ 1910000] elapsed= 27.079150000s
[ 1920000] elapsed= 27.227301000s
[ 1930000] elapsed= 27.371325000s
[ 1940000] elapsed= 27.563779000s
[ 1950000] elapsed= 27.738292000s
[ 1960000] elapsed= 27.927414000s
[ 1970000] elapsed= 28.132231000s
[ 1980000] elapsed= 28.305038000s
[ 1990000] elapsed= 28.497388000s
[ 2000000] elapsed= 28.728950000s
[ 2010000] elapsed= 28.884167000s
[ 2020000] elapsed= 29.035596000s
[ 2030000] elapsed= 29.184744000s
[ 2040000] elapsed= 29.337844000s
[ 2050000] elapsed= 29.490530000s
[ 2060000] elapsed= 29.637114000s
[ 2070000] elapsed= 29.780643000s
[ 2080000] elapsed= 29.922934000s
[ 2090000] elapsed= 30.067282000s
[ 2100000] elapsed= 30.208010000s
[ 2110000] elapsed= 30.352153000s
[ 2120000] elapsed= 30.498248000s
[ 2130000] elapsed= 30.645460000s
[ 2140000] elapsed= 30.786180000s
[ 2150000] elapsed= 30.933562000s
[ 2160000] elapsed= 31.076308000s
[ 2170000] elapsed= 31.218995000s
[ 2180000] elapsed= 31.367247000s
[ 2190000] elapsed= 31.511220000s
[ 2200000] elapsed= 31.652824000s
[ 2210000] elapsed= 31.794380000s
[ 2220000] elapsed= 31.934016000s
[ 2230000] elapsed= 32.074517000s
[ 2240000] elapsed= 32.216012000s
[ 2250000] elapsed= 32.362487000s
[ 2260000] elapsed= 32.503913000s
[ 2270000] elapsed= 32.644720000s
[ 2280000] elapsed= 32.785522000s
[ 2290000] elapsed= 32.925018000s
[ 2300000] elapsed= 33.063913000s
[ 2310000] elapsed= 33.205838000s
[ 2320000] elapsed= 33.347697000s
[ 2330000] elapsed= 33.493512000s
[ 2340000] elapsed= 33.634489000s
[ 2350000] elapsed= 33.776263000s
[ 2360000] elapsed= 33.917956000s
[ 2370000] elapsed= 34.060247000s
[ 2380000] elapsed= 34.243485000s
[ 2390000] elapsed= 34.384504000s
[ 2400000] elapsed= 34.525888000s
[ 2410000] elapsed= 34.667217000s
[ 2420000] elapsed= 34.808412000s
[ 2430000] elapsed= 34.949231000s
[ 2440000] elapsed= 35.096834000s
[ 2450000] elapsed= 35.240878000s
[ 2460000] elapsed= 35.383315000s
[ 2470000] elapsed= 35.526668000s
[ 2480000] elapsed= 35.666649000s
[ 2490000] elapsed= 35.807359000s
[ 2500000] elapsed= 35.950008000s
[ 2510000] elapsed= 36.091671000s
[ 2520000] elapsed= 36.232476000s
[ 2530000] elapsed= 36.376741000s
[ 2540000] elapsed= 36.524247000s
[ 2550000] elapsed= 36.675100000s
[ 2560000] elapsed= 36.814902000s
[ 2570000] elapsed= 36.956704000s
[ 2580000] elapsed= 37.099820000s
[ 2590000] elapsed= 37.243766000s
[ 2600000] elapsed= 37.384889000s
[ 2610000] elapsed= 37.526800000s
[ 2620000] elapsed= 37.668471000s
[ 2630000] elapsed= 37.807415000s
[ 2640000] elapsed= 37.956163000s
[ 2650000] elapsed= 38.097230000s
[ 2660000] elapsed= 38.238136000s
[ 2670000] elapsed= 38.380916000s
[ 2680000] elapsed= 38.522573000s
[ 2690000] elapsed= 38.661805000s
[ 2700000] elapsed= 38.800144000s
[ 2710000] elapsed= 38.941693000s
[ 2720000] elapsed= 39.082324000s
[ 2730000] elapsed= 39.221944000s
[ 2740000] elapsed= 39.363011000s
[ 2750000] elapsed= 39.508357000s
[ 2760000] elapsed= 39.651303000s
[ 2770000] elapsed= 39.797068000s
[ 2780000] elapsed= 39.939221000s
[ 2790000] elapsed= 40.081659000s
[ 2800000] elapsed= 40.225850000s
[ 2810000] elapsed= 40.367565000s
[ 2820000] elapsed= 40.508941000s
[ 2830000] elapsed= 40.649985000s
[ 2840000] elapsed= 40.790312000s
[ 2850000] elapsed= 40.931930000s
[ 2860000] elapsed= 41.076322000s
[ 2870000] elapsed= 41.214565000s
[ 2880000] elapsed= 41.357792000s
[ 2890000] elapsed= 41.500175000s
[ 2900000] elapsed= 41.641843000s
[ 2910000] elapsed= 41.792123000s
[ 2920000] elapsed= 41.933172000s
[ 2930000] elapsed= 42.076117000s
[ 2940000] elapsed= 42.216267000s
[ 2950000] elapsed= 42.358122000s
[ 2960000] elapsed= 42.497168000s
[ 2970000] elapsed= 42.638497000s
[ 2980000] elapsed= 42.778675000s
[ 2990000] elapsed= 42.919776000s
[ 3000000] elapsed= 43.061473000s
[ 3010000] elapsed= 43.201955000s
[ 3020000] elapsed= 43.343009000s
[ 3030000] elapsed= 43.484828000s
[ 3040000] elapsed= 43.623758000s
[ 3050000] elapsed= 43.765156000s
[ 3060000] elapsed= 43.906065000s
[ 3070000] elapsed= 44.045461000s
[ 3080000] elapsed= 44.187717000s
[ 3090000] elapsed= 44.327468000s
[ 3100000] elapsed= 44.469460000s
[ 3110000] elapsed= 44.613129000s
[ 3120000] elapsed= 44.754174000s
[ 3130000] elapsed= 44.894932000s
[ 3140000] elapsed= 45.037484000s
[ 3150000] elapsed= 45.182290000s
[ 3160000] elapsed= 45.335204000s
[ 3170000] elapsed= 45.476424000s
[ 3180000] elapsed= 45.616491000s
[ 3190000] elapsed= 45.756030000s
[ 3200000] elapsed= 45.895879000s
[ 3210000] elapsed= 46.038614000s
[ 3220000] elapsed= 46.180292000s
[ 3230000] elapsed= 46.318052000s
[ 3240000] elapsed= 46.460879000s
[ 3250000] elapsed= 46.603412000s
[ 3260000] elapsed= 46.744354000s
[ 3270000] elapsed= 46.893807000s
[ 3280000] elapsed= 47.040468000s
[ 3290000] elapsed= 47.180430000s
[ 3300000] elapsed= 47.323170000s
[ 3310000] elapsed= 47.464386000s
[ 3320000] elapsed= 47.605391000s
[ 3330000] elapsed= 47.746745000s
[ 3340000] elapsed= 47.888983000s
[ 3350000] elapsed= 48.034569000s
[ 3360000] elapsed= 48.177177000s
[ 3370000] elapsed= 48.318785000s
[ 3380000] elapsed= 48.460674000s
[ 3390000] elapsed= 48.601321000s
[ 3400000] elapsed= 48.748172000s
[ 3410000] elapsed= 48.898705000s
[ 3420000] elapsed= 49.045819000s
[ 3430000] elapsed= 49.194079000s
[ 3440000] elapsed= 49.340609000s
[ 3450000] elapsed= 49.486732000s
[ 3460000] elapsed= 49.630840000s
[ 3470000] elapsed= 49.778347000s
[ 3480000] elapsed= 49.928152000s
[ 3490000] elapsed= 50.074375000s
[ 3500000] elapsed= 50.220709000s
[ 3510000] elapsed= 50.367808000s
[ 3520000] elapsed= 50.513004000s
[ 3530000] elapsed= 50.657356000s
[ 3540000] elapsed= 50.806038000s
[ 3550000] elapsed= 50.954697000s
[ 3560000] elapsed= 51.098484000s
[ 3570000] elapsed= 51.243057000s
[ 3580000] elapsed= 51.387482000s
[ 3590000] elapsed= 51.534742000s
[ 3600000] elapsed= 51.681567000s
[ 3610000] elapsed= 51.827594000s
[ 3620000] elapsed= 51.972738000s
[ 3630000] elapsed= 52.123505000s
[ 3640000] elapsed= 52.273457000s
[ 3650000] elapsed= 52.417661000s
[ 3660000] elapsed= 52.563067000s
[ 3670000] elapsed= 52.709398000s
[ 3680000] elapsed= 52.854879000s
[ 3690000] elapsed= 53.002319000s
[ 3700000] elapsed= 53.146162000s
[ 3710000] elapsed= 53.292457000s
[ 3720000] elapsed= 53.439485000s
[ 3730000] elapsed= 53.584346000s
[ 3740000] elapsed= 53.731720000s
[ 3750000] elapsed= 53.877989000s
[ 3760000] elapsed= 54.024141000s
[ 3770000] elapsed= 54.171390000s
[ 3780000] elapsed= 54.314963000s
[ 3790000] elapsed= 54.459226000s
[ 3800000] elapsed= 54.604122000s
[ 3810000] elapsed= 54.749194000s
[ 3820000] elapsed= 54.895760000s
[ 3830000] elapsed= 55.038281000s
[ 3840000] elapsed= 55.189241000s
[ 3850000] elapsed= 55.334811000s
[ 3860000] elapsed= 55.483393000s
[ 3870000] elapsed= 55.631050000s
[ 3880000] elapsed= 55.777079000s
[ 3890000] elapsed= 55.924607000s
[ 3900000] elapsed= 56.071476000s
[ 3910000] elapsed= 56.214924000s
[ 3920000] elapsed= 56.360894000s
[ 3930000] elapsed= 56.506564000s
[ 3940000] elapsed= 56.653552000s
[ 3950000] elapsed= 56.802056000s
[ 3960000] elapsed= 56.948625000s
[ 3970000] elapsed= 57.094696000s
[ 3980000] elapsed= 57.241285000s
[ 3990000] elapsed= 57.391647000s
[ 4000000] elapsed= 57.535829000s
[ 4010000] elapsed= 57.678646000s
[ 4020000] elapsed= 57.827751000s
[ 4030000] elapsed= 57.974497000s
[ 4040000] elapsed= 58.121758000s
[ 4050000] elapsed= 58.267170000s
[ 4060000] elapsed= 58.415585000s
[ 4070000] elapsed= 58.562636000s
[ 4080000] elapsed= 58.710808000s
[ 4090000] elapsed= 58.857556000s
[ 4100000] elapsed= 59.003575000s
[ 4110000] elapsed= 59.149043000s
[ 4120000] elapsed= 59.295147000s
[ 4130000] elapsed= 59.441937000s
[ 4140000] elapsed= 59.588787000s
[ 4150000] elapsed= 59.732326000s
[ 4160000] elapsed= 59.881427000s
[ 4170000] elapsed= 60.027149000s
[ 4180000] elapsed= 60.174286000s
[ 4190000] elapsed= 60.319962000s
[ 4200000] elapsed= 60.464882000s
[ 4210000] elapsed= 60.610944000s
[ 4220000] elapsed= 60.758515000s
[ 4230000] elapsed= 60.902429000s
[ 4240000] elapsed= 61.047265000s
[ 4250000] elapsed= 61.193036000s
[ 4260000] elapsed= 61.337052000s
[ 4270000] elapsed= 61.482889000s
[ 4280000] elapsed= 61.628610000s
[ 4290000] elapsed= 61.774776000s
[ 4300000] elapsed= 61.921618000s
[ 4310000] elapsed= 62.067797000s
[ 4320000] elapsed= 62.213649000s
[ 4330000] elapsed= 62.359802000s
[ 4340000] elapsed= 62.513436000s
[ 4350000] elapsed= 62.659708000s
[ 4360000] elapsed= 62.808709000s
[ 4370000] elapsed= 62.956037000s
[ 4380000] elapsed= 63.103056000s
[ 4390000] elapsed= 63.249726000s
[ 4400000] elapsed= 63.400617000s
[ 4410000] elapsed= 63.553920000s
[ 4420000] elapsed= 63.703735000s
[ 4430000] elapsed= 63.853980000s
[ 4440000] elapsed= 64.007398000s
[ 4450000] elapsed= 64.175769000s
[ 4460000] elapsed= 64.323432000s
[ 4470000] elapsed= 64.471251000s
[ 4480000] elapsed= 64.621400000s
[ 4490000] elapsed= 64.766719000s
[ 4500000] elapsed= 64.914703000s
[ 4510000] elapsed= 65.064280000s
[ 4520000] elapsed= 65.213787000s
[ 4530000] elapsed= 65.365921000s
[ 4540000] elapsed= 65.516875000s
[ 4550000] elapsed= 65.660590000s
[ 4560000] elapsed= 65.802273000s
[ 4570000] elapsed= 65.949186000s
[ 4580000] elapsed= 66.095154000s
[ 4590000] elapsed= 66.245476000s
[ 4600000] elapsed= 66.393939000s
[ 4610000] elapsed= 66.560151000s
[ 4620000] elapsed= 66.716473000s
[ 4630000] elapsed= 66.880720000s
[ 4640000] elapsed= 67.042456000s
[ 4650000] elapsed= 67.207700000s
[ 4660000] elapsed= 67.386469000s
[ 4670000] elapsed= 67.533815000s
[ 4680000] elapsed= 67.689131000s
[ 4690000] elapsed= 67.841412000s
[ 4700000] elapsed= 67.990807000s
[ 4710000] elapsed= 68.141274000s
[ 4720000] elapsed= 68.295652000s
[ 4730000] elapsed= 68.442110000s
[ 4740000] elapsed= 68.586035000s
[ 4750000] elapsed= 68.732746000s
[ 4760000] elapsed= 68.880136000s
[ 4770000] elapsed= 69.025248000s
[ 4780000] elapsed= 69.172025000s
[ 4790000] elapsed= 69.322489000s
[ 4800000] elapsed= 69.467488000s
[ 4810000] elapsed= 69.655505000s
[ 4820000] elapsed= 69.809815000s
[ 4830000] elapsed= 69.960004000s
[ 4840000] elapsed= 70.111391000s
[ 4850000] elapsed= 70.259559000s
[ 4860000] elapsed= 70.409504000s
[ 4870000] elapsed= 70.556954000s
[ 4880000] elapsed= 70.705732000s
[ 4890000] elapsed= 70.855344000s
[ 4900000] elapsed= 71.005577000s
[ 4910000] elapsed= 71.153637000s
[ 4920000] elapsed= 71.300003000s
[ 4930000] elapsed= 71.443685000s
[ 4940000] elapsed= 71.589438000s
[ 4950000] elapsed= 71.737914000s
[ 4960000] elapsed= 71.883913000s
[ 4970000] elapsed= 72.029964000s
[ 4980000] elapsed= 72.175848000s
[ 4990000] elapsed= 72.325385000s
[ 5000000] elapsed= 72.474497000s
=== final ===
Framing.Decode    : total= 5000000 OK_True= 0 OK_False= 2499936 Constraint= 2500064 Storage= 0 Program= 0 Other= 0
Status.From_String: total= 5000000 OK_True= 79072 OK_False= 4920928 Constraint= 0 Storage= 0 Program= 0 Other= 0
